OBJECTNUMMER;FUNCTIE2_OMS;ZAAKNAAM;FUNCTIE2_ENG;FUNCTIE1_ID;FUNCTIE1_OMS;FUNCTIE1_ENG;FUNCTIE2_ID;LAAG;ADRESSEN_LIJST;ADRESSEN_VOT;ADRESSEN_AANTAL;OPPERVLAKTE_SOM;OPPERVLAKTE_NUL;CHECKDATUM;ZAAK_ID;COORDS;LNG;LAT;
2;"Bedrijf - Bedrijfsverzamelgebouw";"GATES MODEONTWERPSTER";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Eerste Constantijn Huygensstraat 72/H - 159 m2<br>Eerste Constantijn Huygensstraat 74/H - 50 m2<br>";"03630001026781-03630001026782";2;209;0;"2017-03-10";4814;"POLYGON((4.874287 52.363621,4.87442 52.363659,4.874487 52.363561,4.874325 52.363518,4.874263 52.363613,4.874287 52.363621))";"4,874379";"52,3635795";
3;"Bedrijf - Bedrijfsverzamelgebouw";"AUTOBEDRIJF";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Tweede Helmersstraat 11/H - 114 m2<br>Tweede Helmersstraat 13/H - 167 m2<br>";"03630000550443-03630001015240";2;281;0;"2017-02-22";4864;"POLYGON((4.87776 52.364755,4.877969 52.364816,4.878052 52.364708,4.878049 52.364663,4.877979 52.364642,4.878013 52.364595,4.877944 52.364575,4.877905 52.364564,4.87776 52.364755))";"4,87791";"52,364684";
4;"Bedrijf - Bedrijfsverzamelgebouw";"GARAGE WEST-CENTER";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Tweede Helmersstraat 15/H - 0 m2<br>";"03630000550458";1;0;1;"2017-02-22";4866;"POLYGON((4.87776 52.364755,4.877905 52.364564,4.877797 52.364535,4.87765 52.364722,4.87776 52.364755))";"4,8777815";"52,3646385";
5;"Bedrijf - Bedrijfsverzamelgebouw";"HELMER GARAGE";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Tweede Helmersstraat 47/H - 61 m2<br>";"03630022623974";1;61;0;"2017-02-22";4868;"POLYGON((4.876384 52.364241,4.876314 52.364331,4.876398 52.364355,4.876459 52.364277,4.876436 52.36427,4.876445 52.364258,4.876384 52.364241))";"4,8763905";"52,364291";
6;"Bedrijf - Bedrijfsverzamelgebouw";"AUTOSERVICE";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Tweede Kostverlorenkade 23/H - 0 m2<br>Tweede Kostverlorenkade 24/H - 140 m2<br>Tweede Kostverlorenkade 25/H - 132 m2<br>";"03630000552251-03630001009796-03630000552258";3;272;1;"2017-07-10";4873;"POLYGON((4.865257 52.369879,4.865419 52.369823,4.865468 52.369806,4.865471 52.369674,4.865421 52.36962,4.865116 52.369727,4.865257 52.369879))";"4,8652975";"52,3697425";
9;"Consumentendienstverlening overig";"KALENDER KLEERMAKER";"Consumer services other";"D";"Detailhandel";"Retail";"D13";1;"Bellamyplein 8/H - 66 m2<br>";"03630000579889";1;66;0;"2017-07-09";4915;"POLYGON((4.867579 52.368515,4.867663 52.368532,4.867741 52.368381,4.867647 52.368384,4.867579 52.368515))";"4,867664";"52,368449";
10;"Bedrijf - Bedrijfsverzamelgebouw";"SPEIJER";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Bellamystraat 30/H - 0 m2<br>";"03630000580070";1;0;1;"2017-07-09";4924;"POLYGON((4.86565 52.367285,4.865813 52.367328,4.865895 52.367349,4.865997 52.367182,4.865764 52.367121,4.86565 52.367285))";"4,8658275";"52,3672285";
11;"Bedrijf - Bedrijfsverzamelgebouw";"MEISTER SMEDERIJ";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Bellamystraat 74/H - 266 m2<br>";"03630000580157";1;266;0;"2017-07-09";4925;"POLYGON((4.864207 52.366713,4.864137 52.366695,4.864074 52.366784,4.864221 52.366823,4.86428 52.366733,4.864207 52.366713))";"4,864181";"52,3667515";
12;"Bedrijf - Bedrijfsverzamelgebouw";"COLORS";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Bilderdijkstraat 184/O - 75 m2<br>";"03630000586338";1;75;0;"2017-03-19";5022;"POLYGON((4.872067 52.366642,4.872115 52.366656,4.872113 52.366664,4.872289 52.366713,4.872318 52.366671,4.872141 52.366623,4.872128 52.366639,4.872079 52.366626,4.872067 52.366642))";"4,8721965";"52,36666";
13;"Bedrijf - Bedrijfsverzamelgebouw";"MOTO-DICK";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Potgieterstraat 32 - 156 m2<br>";"03630000781095";1;156;0;"2017-07-08";5081;"POLYGON((4.872586 52.36963,4.872668 52.369651,4.872774 52.369492,4.872713 52.369477,4.872684 52.369484,4.872586 52.36963))";"4,872684";"52,3695575";
15;"Bedrijf - Bedrijfsverzamelgebouw";"GRAVEERINRICHTING & STEMPELFABRIEK DE LETTER";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"De Clercqstraat 15 - 71 m2<br>";"03630000616805";1;71;0;"2017-07-08";5104;"POLYGON((4.873411 52.371519,4.873486 52.371395,4.873367 52.371392,4.873358 52.371501,4.873367 52.371509,4.873411 52.371519))";"4,873426";"52,371449";
